Id,Id2,Geography,total,white,black,asian,hispanic,other
310M200US10180,10180,"Abilene, TX Metro Area",167171,111564,12682,2364,36962,3599
310M200US10420,10420,"Akron, OH Metro Area",703017,574137,83074,15547,11981,18278
310M200US10500,10500,"Albany, GA Metro Area",156706,67109,82263,1471,3606,2257
310M200US10540,10540,"Albany, OR Metro Area",118270,102446,506,1339,9590,4389
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",875567,717250,62836,31098,39544,24839
310M200US10740,10740,"Albuquerque, NM Metro Area",899137,371735,20703,17067,426071,63561
310M200US10780,10780,"Alexandria, LA Metro Area",154562,98872,45812,1971,4604,3303
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",826260,635566,36238,21972,116481,16003
310M200US11020,11020,"Altoona, PA Metro Area",126708,120714,2025,970,1350,1649
310M200US11100,11100,"Amarillo, TX Metro Area",257038,161372,14437,7028,68011,6190
310M200US11180,11180,"Ames, IA Metro Area",91939,79196,2141,5693,2863,2046
310M200US11260,11260,"Anchorage, AK Metro Area",392021,258540,17393,26014,28669,61405
310M200US11460,11460,"Ann Arbor, MI Metro Area",351454,250800,41877,28784,14963,15030
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",117186,85871,24186,939,4017,2173
310M200US11540,11540,"Appleton, WI Metro Area",228641,204923,2148,6405,8703,6462
310M200US11700,11700,"Asheville, NC Metro Area",433204,371800,19255,4131,28498,9520
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",196287,131738,37753,6668,16012,4116
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5455053,2720539,1763439,279945,569504,121626
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",275325,158304,40358,22037,48865,5761
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",147790,101394,33782,4537,5434,2643
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",575669,322669,201913,10339,27500,13248
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1835016,989682,129037,90850,582449,42998
310M200US12540,12540,"Bakersfield, CA Metro Area",857730,319419,45563,36612,432370,23766
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2753396,1624225,782746,134734,136473,75218
310M200US12620,12620,"Bangor, ME Metro Area",153627,144951,1167,1510,1777,4222
310M200US12700,12700,"Barnstable Town, MA Metro Area",215167,196810,5215,2864,5267,5011
310M200US12940,12940,"Baton Rouge, LA Metro Area",814805,468511,288716,15710,28995,12873
310M200US12980,12980,"Battle Creek, MI Metro Area",135150,107276,14377,2523,6279,4695
310M200US13020,13020,"Bay City, MI Metro Area",107074,97250,1298,590,5233,2703
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",404741,236358,97323,10359,54216,6485
310M200US13220,13220,"Beckley, WV Metro Area",124536,111179,8785,851,1539,2182
310M200US13380,13380,"Bellingham, WA Metro Area",204855,165513,1795,7960,17264,12323
310M200US13460,13460,"Bend-Redmond, OR Metro Area",163141,143653,597,1927,12417,4547
310M200US13740,13740,"Billings, MT Metro Area",162892,143544,957,1152,7847,9392
310M200US13780,13780,"Binghamton, NY Metro Area",249261,217945,9421,7862,7995,6038
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",1135534,732999,322117,14958,49008,16452
310M200US13900,13900,"Bismarck, ND Metro Area",120688,107219,780,540,2101,10048
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",179908,158107,7979,6345,4358,3119
310M200US14010,14010,"Bloomington, IL Metro Area",188851,154990,13162,7951,8307,4441
310M200US14020,14020,"Bloomington, IN Metro Area",162422,140851,4199,8429,4679,4264
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85564,80140,1530,1256,1969,669
310M200US14260,14260,"Boise City, ID Metro Area",639616,520663,4971,12565,82440,18977
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4650876,3428281,325485,322011,450277,124822
310M200US14500,14500,"Boulder, CO Metro Area",305166,240384,2472,12668,41482,8160
310M200US14540,14540,"Bowling Green, KY Metro Area",162322,138043,11481,3296,6677,2825
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",253614,198211,6708,12317,17336,19042
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",934215,605136,96438,45217,167047,20377
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",415103,42678,1582,2708,366892,1243
310M200US15260,15260,"Brunswick, GA Metro Area",113572,77892,26283,1265,5848,2284
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135667,895408,133834,29060,49771,27594
310M200US15500,15500,"Burlington, NC Metro Area",153713,102201,27485,2013,17799,4215
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",213891,195696,3535,4862,3942,5856
310M200US15680,15680,"California-Lexington Park, MD Metro Area",108472,82351,15239,2668,4648,3566
310M200US15940,15940,"Canton-Massillon, OH Metro Area",403629,355486,26561,2797,6891,11894
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",647554,452551,52929,9783,122812,9479
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",97246,83897,8503,1115,1906,1825
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",126933,105982,11151,2543,3960,3297
310M200US16180,16180,"Carson City, NV Metro Area",54634,37927,818,1171,12150,2568
310M200US16220,16220,"Casper, WY Metro Area",78667,68971,820,656,5994,2226
310M200US16300,16300,"Cedar Rapids, IA Metro Area",261429,235070,9608,4249,6650,5852
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",151517,135596,5315,1368,7102,2136
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",234672,171891,25345,19673,11692,6071
310M200US16620,16620,"Charleston, WV Metro Area",225248,202089,8086,1941,2074,11058
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",697281,443786,186975,11383,37115,18022
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2298915,1459968,499032,67934,217008,54973
310M200US16820,16820,"Charlottesville, VA Metro Area",223063,167567,30924,7933,10396,6243
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",537397,424297,73623,7663,20546,11268
310M200US16940,16940,"Cheyenne, WY Metro Area",94412,75159,2608,1005,12978,2662
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9516448,5168821,1595580,563042,2019141,169864
310M200US17020,17020,"Chico, CA Metro Area",221578,164509,2996,9298,32968,11807
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2131793,1725082,258022,43942,58951,45796
310M200US17300,17300,"Clarksville, TN-KY Metro Area",270751,183287,49410,4845,21552,11657
310M200US17420,17420,"Cleveland, TN Metro Area",117719,104521,4492,1008,5462,2236
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",2067490,1471844,406173,42333,103862,43278
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",142783,130660,418,1406,5819,4480
310M200US17780,17780,"College Station-Bryan, TX Metro Area",235316,138028,26870,11141,55123,4154
310M200US17820,17820,"Colorado Springs, CO Metro Area",669070,479825,36640,17038,102782,32785
310M200US17860,17860,"Columbia, MO Metro Area",168268,135326,14613,6678,5259,6392
310M200US17900,17900,"Columbia, SC Metro Area",784698,453395,258323,14260,41157,17563
