"original address",latitude,longitude
"Selma, AL",32.407359,-87.021101
"Daphne-Fairhope-Foley, AL",30.406587,-87.683597
"Anniston-Oxford-Jacksonville, AL",33.827023,-85.765358
"Birmingham-Hoover, AL",33.400235,-86.805099
"Enterprise, AL",31.315171,-85.855216
"Florence-Muscle Shoals, AL",34.814856,-87.642664
"Cullman, AL",34.174821,-86.843612
"Gadsden, AL",34.014264,-86.006639
"Tuscaloosa, AL",33.209841,-87.569173
"Dothan, AL",31.223231,-85.390489
"Auburn-Opelika, AL",32.619933,-85.459046
"Huntsville, AL",34.730369,-86.586104
"Mobile, AL",30.695366,-88.039891
"Montgomery, AL",32.366805,-86.299969
"Decatur, AL",34.605925,-86.983342
"Columbus, GA-AL",32.460976,-84.987709
"Talladega-Sylacauga, AL",33.173172,-86.251641
"Ozark, AL",31.459017,-85.640289
"Scottsboro, AL",34.672307,-86.034146
"LaGrange, GA",33.036222,-85.032244
"Tullahoma-Manchester, TN",35.387429,-86.156961
"Albertville, AL",34.267594,-86.208867
"Valley, AL",32.818741,-85.179385
"Troy, AL",31.808768,-85.969951
"Anchorage, AK",61.218056,-149.900278
"Fairbanks, AK",64.837778,-147.716389
"Juneau, AK",58.301944,-134.419722
"Ketchikan, AK",55.342222,-131.646111
"Sierra Vista-Douglas, AZ",31.431512,-109.516846
"Flagstaff, AZ",35.198284,-111.651302
"Phoenix-Mesa-Scottsdale, AZ",33.678899,-111.883544
"Safford, AZ",32.833955,-109.70758
"Yuma, AZ",32.692651,-114.627692
"Lake Havasu City-Kingman, AZ",35.189443,-114.053006
"Show Low, AZ",34.254208,-110.029833
"Tucson, AZ",32.221743,-110.926479
"Nogales, AZ",31.340378,-110.934253
"Prescott, AZ",34.540024,-112.468502
"St. George",37.096528,-113.568416
"T",44.887632,-92.43552
"Payson, AZ",34.230868,-111.325135
"El Centro, CA",32.792,-115.563051
"Fayetteville-Springdale-Rogers, AR-MO",37.964253,-91.831833
"Harrison, AR",36.229794,-93.107677
"Jonesboro, AR",35.842297,-90.704279
"Fort Smith, AR-OK",35.385924,-94.398547
"Memphis, TN-MS-AR",35.149534,-90.04898
"Little Rock-North Little Rock-Conway, AR",34.726942,-92.334489
"Hot Springs, AR",34.5037,-93.05518
"Batesville, AR",35.769799,-91.640972
"Pine Bluff, AR",34.228431,-92.003195
"Texarkana, TX-AR",33.425125,-94.047688
"Arkadelphia, AR",34.120929,-93.053784
"Russellville, AR",35.278417,-93.133786
"El Dorado, AR",33.20763,-92.666267
"Searcy, AR",35.24682,-91.733685
"Paragould, AR",36.058402,-90.497329
"Malvern, AR",34.362315,-92.812946
"Helena-West Helena, AR",34.5291,-90.59
"Forrest City, AR",35.008147,-90.789834
"Bastrop, LA",32.756246,-91.87235
"Camden, AR",33.584558,-92.834329
"Monroe, LA",32.509311,-92.119301
"Mountain Home, AR",36.335395,-92.381346
"Magnolia, AR",33.267072,-93.239334
"Blytheville, AR",35.927295,-89.918975
"Kennett, MO",36.236176,-90.055649
"San Francisco-Oakland-Hayward, CA",37.776979,-122.231952
"Chico, CA",39.728494,-121.837478
"Red Bluff, CA",40.178489,-122.23583
"Yuba City, CA",39.140448,-121.616911
"Eureka-Arcata-Fortuna, CA",40.598187,-124.157276
"Sacramento--Roseville--Arden-Arcade, CA",38.652613,-121.389788
"Fresno, CA",36.746842,-119.772587
"Hanford-Corcoran, CA",36.098007,-119.560402
"Bakersfield, CA",35.373292,-119.018712
"Visalia-Porterville, CA",36.06523,-119.016768
"Los Angeles-Long Beach-Anaheim, CA",33.842117,-118.029652
"Clearlake, CA",38.958231,-122.626373
"Napa, CA",38.297538,-122.286865
"Susanville, CA",40.416284,-120.653006
"Madera, CA",36.961336,-120.060718
"Merced, CA",37.302163,-120.482968
"Santa Rosa, CA",38.440429,-122.714055
"Ukiah, CA",39.150171,-123.207783
"Salinas, CA",36.677737,-121.655501
"San Jose-Sunnyvale-Santa Clara, CA",37.325315,-122.05282
"Vallejo-Fairfield, CA",38.256213,-121.928093
"San Diego-Carlsbad, CA",33.158093,-117.350594
"Riverside-San Bernardino-Ontario, CA",34.063344,-117.650888
"Stockton-Lodi, CA",38.115777,-121.269671
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",35.101147,-120.607359
"Santa Maria-Santa Barbara, CA",34.953034,-120.435719
"Santa Cruz-Watsonville, CA",36.910231,-121.756895
"Redding, CA",40.58654,-122.391675
"Modesto, CA",37.639097,-120.996878
"Sonora, CA",37.98295,-120.382172
"Oxnard-Thousand Oaks-Ventura, CA",34.159817,-119.045183
"Crescent City, CA",41.75575,-124.202591
"Truckee-Grass Valley, CA",39.219061,-121.061061
"Reno, NV",39.529633,-119.813803
"Denver-Aurora-Lakewood, CO",39.70471,-105.081373
"Boulder, CO",40.014986,-105.270546
"Colorado Springs, CO",38.833882,-104.821363
"Edwards, CO",39.644986,-106.5942
"Ca\xf1on City, CO",36.778261,-119.417932
